_id,id,department,name,street,no,zip,city,lat,lng
36,2103,MSO,Lokalcenter Hjortshøj,Hjortshøj Stationvej,40,8530,Hjortshøj,56.243365,10.262146
37,2104,MSO,Lokalcenter Holme,Nygårdsvej,34,8270,Højbjerg,56.110441,10.177756
38,2105,MSO,Lokalcenter Hørgården,Hørgårdsvej,17,8240,Risskov,56.19532,10.238133
39,2106,MSO,Lokalcenter Kildevang,Langballevej,3,8320,Mårslet,56.069461,10.164217
40,2107,MSO,Lokalcenter Koltgården,Kunnerupvej,196,8361,Hasselager,56.111208,10.0738939
41,2108,MSO,Lokalcenter Marselis,Marselis Boulevard,94,8000,Århus C,56.140438,10.191483
42,2109,MSO,Lokalcenter Møllestien,Grønnegade,10,8000,Århus C,56.1569119,10.2032848
43,2110,MSO,Lokalcenter Næshøj,Næshøjvej,41,8462,Harlev J,56.143466,9.992068
44,2111,MSO,Lokalcenter Rosenbakken,Grenåvej,701,8541,Skødstrup,56.270696,10.309989
45,2112,MSO,Lokalcenter Rosenvang,Vidtskuevej,4,8260,Viby J,56.129126,10.181046
